"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Percentage change (yearly) All property types","Percentage change (monthly) All property types","House price index All property types","Sales volume All property types","Average price Detached houses","Percentage change (yearly) Detached houses","Percentage change (monthly) Detached houses","House price index Detached houses","Average price Semi-detached houses","Percentage change (yearly) Semi-detached houses","Percentage change (monthly) Semi-detached houses","House price index Semi-detached houses","Average price Terraced houses","Percentage change (yearly) Terraced houses","Percentage change (monthly) Terraced houses","House price index Terraced houses","Average price Flats and maisonettes","Percentage change (yearly) Flats and maisonettes","Percentage change (monthly) Flats and maisonettes","House price index Flats and maisonettes","Average price First-time buyers","Percentage change (yearly) First-time buyers","Percentage change (monthly) First-time buyers","House price index First-time buyers","Average price Former owner-occupiers","Percentage change (yearly) Former owner-occupiers","Percentage change (monthly) Former owner-occupiers","House price index Former owner-occupiers","Average price Cash purchases","Percentage change (yearly) Cash purchases","Percentage change (monthly) Cash purchases","House price index Cash purchases","Sales volume Cash purchases","Average price Mortgage purchases","Percentage change (yearly) Mortgage purchases","Percentage change (monthly) Mortgage purchases","House price index Mortgage purchases","Sales volume Mortgage purchases","Average price New build","Percentage change (yearly) New build","Percentage change (monthly) New build","House price index New build","Sales volume New build","Average price Existing properties","Percentage change (yearly) Existing properties","Percentage change (monthly) Existing properties","House price index Existing properties","Sales volume Existing properties","Pivotable date"
Redcar and Cleveland,http://landregistry.data.gov.uk/id/region/redcar-and-cleveland,E06000003,2018-06,204,monthly,110756,-0.3,1.4,76.6,204,189875,0.1,1.2,77.6,114239,0.1,1.6,76.6,84690,-0.7,1.5,74.9,66124,-3.7,1.5,80.1,98024,-0.5,1.5,76.2,128096,-0.2,1.4,76.9,104143,-0.5,1.5,76.9,65,114166,-0.2,1.4,76.4,139,230226,0.6,1.1,79.3,39,107763,-0.2,1.5,76.2,165,2018-06-01
Redcar and Cleveland,http://landregistry.data.gov.uk/id/region/redcar-and-cleveland,E06000003,2018-07,190,monthly,112706,2.5,1.8,77.9,190,193228,3.2,1.8,79.0,116226,2.9,1.7,77.9,86194,2.1,1.8,76.2,67328,-1.1,1.8,81.5,99719,2.3,1.7,77.5,130384,2.7,1.8,78.3,105992,2.4,1.8,78.3,61,116166,2.6,1.8,77.7,129,233520,3.5,1.4,80.4,34,109731,2.7,1.8,77.6,156,2018-07-01
Redcar and Cleveland,http://landregistry.data.gov.uk/id/region/redcar-and-cleveland,E06000003,2018-08,171,monthly,113026,0.5,0.3,78.1,171,193758,1.2,0.3,79.2,116501,0.9,0.2,78.1,86526,-0.1,0.4,76.5,67427,-2.9,0.1,81.6,100066,0.4,0.3,77.8,130688,0.6,0.2,78.5,106202,0.2,0.2,78.4,77,116555,0.7,0.3,78.0,94,235531,2.7,0.9,81.1,14,109916,0.5,0.2,77.7,157,2018-08-01
Redcar and Cleveland,http://landregistry.data.gov.uk/id/region/redcar-and-cleveland,E06000003,2018-09,182,monthly,113857,2.6,0.7,78.7,182,195448,3.2,0.9,79.9,117293,3.1,0.7,78.6,87157,2.1,0.7,77.1,67784,-0.7,0.5,82.1,100778,2.6,0.7,78.3,131673,2.7,0.8,79.0,106972,2.4,0.7,79.0,57,117419,2.8,0.7,78.5,125,237579,4.6,0.9,81.8,22,110694,2.6,0.7,78.3,160,2018-09-01
Redcar and Cleveland,http://landregistry.data.gov.uk/id/region/redcar-and-cleveland,E06000003,2018-10,180,monthly,112194,0.2,-1.5,77.6,180,192832,0.7,-1.3,78.8,115630,0.6,-1.4,77.5,85738,-0.3,-1.6,75.8,66786,-2.4,-1.5,80.9,99309,0.1,-1.5,77.2,129747,0.2,-1.5,77.9,105374,0.0,-1.5,77.8,82,115726,0.3,-1.4,77.4,98,235145,2.2,-1.0,81.0,29,108980,0.1,-1.5,77.1,151,2018-10-01
Redcar and Cleveland,http://landregistry.data.gov.uk/id/region/redcar-and-cleveland,E06000003,2018-11,209,monthly,109133,0.4,-2.7,75.4,209,187781,0.9,-2.6,76.8,112561,0.8,-2.7,75.5,83249,0.0,-2.9,73.6,64840,-2.1,-2.9,78.5,96508,0.3,-2.8,75.0,126300,0.6,-2.7,75.8,102561,0.3,-2.7,75.7,80,112528,0.5,-2.8,75.3,128,226870,1.4,-3.5,78.1,26,106182,0.6,-2.6,75.1,183,2018-11-01
Redcar and Cleveland,http://landregistry.data.gov.uk/id/region/redcar-and-cleveland,E06000003,2018-12,171,monthly,106991,-5.7,-2.0,74.0,171,183975,-5.1,-2.0,75.2,110368,-5.4,-1.9,74.0,81613,-6.1,-2.0,72.2,63718,-7.8,-1.7,77.1,94651,-5.8,-1.9,73.6,123783,-5.6,-2.0,74.3,100570,-5.8,-1.9,74.3,60,110306,-5.6,-2.0,73.8,111,222387,-4.6,-2.0,76.6,37,104102,-5.6,-2.0,73.6,134,2018-12-01
Redcar and Cleveland,http://landregistry.data.gov.uk/id/region/redcar-and-cleveland,E06000003,2019-01,141,monthly,106639,-5.2,-0.3,73.7,141,183521,-4.6,-0.2,75.0,110040,-4.9,-0.3,73.8,81288,-5.6,-0.4,71.9,63332,-7.5,-0.6,76.7,94313,-5.4,-0.4,73.3,123405,-5.0,-0.3,74.1,100190,-5.3,-0.4,74.0,50,109975,-5.1,-0.3,73.6,91,221524,-4.7,-0.4,76.3,22,103772,-5.0,-0.3,73.4,119,2019-01-01
Redcar and Cleveland,http://landregistry.data.gov.uk/id/region/redcar-and-cleveland,E06000003,2019-02,152,monthly,107639,-4.3,0.9,74.4,152,185827,-3.8,1.3,76.0,110948,-4.0,0.8,74.4,81941,-4.7,0.8,72.5,64030,-6.0,1.1,77.5,95222,-4.4,1.0,74.0,124526,-4.1,0.9,74.8,101001,-4.3,0.8,74.6,46,111090,-4.2,1.0,74.3,106,228056,-3.8,2.9,78.5,12,104359,-4.2,0.6,73.8,140,2019-02-01
Redcar and Cleveland,http://landregistry.data.gov.uk/id/region/redcar-and-cleveland,E06000003,2019-03,173,monthly,107672,-0.1,0.0,74.4,173,186082,0.2,0.1,76.1,111040,0.2,0.1,74.4,81911,-0.4,0.0,72.5,63689,-1.8,-0.5,77.1,95256,-0.2,0.0,74.1,124543,0.0,0.0,74.8,100904,-0.2,-0.1,74.5,63,111208,0.0,0.1,74.4,110,229777,0.5,0.8,79.1,19,104243,-0.1,-0.1,73.7,154,2019-03-01
Redcar and Cleveland,http://landregistry.data.gov.uk/id/region/redcar-and-cleveland,E06000003,2019-04,161,monthly,107298,-0.3,-0.3,74.2,161,185106,-0.2,-0.5,75.7,110691,0.0,-0.3,74.2,81773,-0.5,-0.2,72.3,63297,-1.8,-0.6,76.6,94983,-0.3,-0.3,73.8,124038,-0.3,-0.4,74.5,100571,-0.5,-0.3,74.3,53,110811,-0.2,-0.4,74.1,108,229647,0.6,-0.1,79.1,10,103828,-0.5,-0.4,73.4,151,2019-04-01
Redcar and Cleveland,http://landregistry.data.gov.uk/id/region/redcar-and-cleveland,E06000003,2019-05,161,monthly,110082,0.8,2.6,76.1,161,189039,0.8,2.1,77.3,113730,1.1,2.7,76.3,84125,0.8,2.9,74.4,64724,-0.7,2.3,78.4,97496,0.9,2.6,75.8,127194,0.7,2.5,76.4,103229,0.6,2.6,76.2,56,113656,1.0,2.6,76.0,105,232871,2.2,1.4,80.2,20,106738,0.6,2.8,75.5,141,2019-05-01
Redcar and Cleveland,http://landregistry.data.gov.uk/id/region/redcar-and-cleveland,E06000003,2019-06,176,monthly,112202,1.3,1.9,77.6,176,192043,1.1,1.6,78.5,115970,1.5,2.0,77.8,85925,1.5,2.1,76.0,66105,0.0,2.1,80.0,99401,1.4,2.0,77.3,129607,1.2,1.9,77.8,105285,1.1,2.0,77.7,52,115803,1.4,1.9,77.5,124,235135,2.1,1.0,81.0,33,108973,1.1,2.1,77.1,143,2019-06-01
